,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
112,33007,39.0,4.9,Cloudy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,15,20002.52025139077
113,24304,37.0,4.1,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,25,20002.52025139077
114,21231,26.0,4.9,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,26,20002.52025139077
115,40533,32.0,4.6,Cloudy,Jam,0,Snack,motorcycle,3.0,No,Semi-Urban,53,20002.52025139077
116,16412,24.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,,,10,20002.52025139077
117,20076,33.0,5.0,Cloudy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,17,20002.52025139077
118,29981,27.0,4.6,Stormy,Medium,2,Meal,scooter,1.0,No,Metropolitian,28,20002.520251342885
119,19169,23.0,4.5,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,21,20002.520251342885
120,20914,25.0,4.8,Sunny,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,23,20002.520251342885
121,23401,36.0,4.8,Sunny,Medium,1,Meal,scooter,1.0,No,Metropolitian,24,20002.520251342885
122,24075,36.0,4.8,Sandstorms,Low,2,Meal,motorcycle,1.0,No,Metropolitian,28,20002.520251342885
123,22379,37.0,4.9,Cloudy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,34,20002.520251342885
124,36607,31.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,44,20002.520251342885
125,21246,36.0,4.9,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520251342885
126,42448,36.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.520251342885
127,42847,33.0,4.5,Cloudy,Low,2,Buffet,scooter,0.0,No,Metropolitian,26,20002.520251342885
128,11286,28.0,5.0,Stormy,Jam,2,Snack,scooter,1.0,No,Urban,20,20002.520251332953
129,18625,38.0,4.6,Cloudy,Medium,2,Meal,motorcycle,2.0,No,Urban,33,20002.520251332953
130,28861,20.0,4.6,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Urban,23,20002.520251332953
131,32433,39.0,4.8,Fog,High,2,Buffet,motorcycle,0.0,No,Metropolitian,38,20002.520251332953
132,21166,37.0,,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520251332953
133,15284,20.0,4.8,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,16,20002.520251332953
134,34417,32.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Urban,24,20002.520251332953
135,39635,32.0,4.7,Stormy,High,1,Drinks,motorcycle,0.0,No,Urban,28,20002.520251332953
136,27887,27.0,4.8,Cloudy,Low,1,Meal,motorcycle,1.0,No,Urban,12,20002.520251332953
137,33475,,,Sandstorms,Low,1,Drinks,scooter,1.0,No,Urban,11,20002.520251332953
138,45051,32.0,4.7,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,25,20002.520251332953
139,10478,20.0,4.7,Sandstorms,High,1,Meal,scooter,0.0,No,Metropolitian,20,20002.520251332953
140,7691,34.0,4.4,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,39,20002.520251332953
141,22333,25.0,4.9,Windy,Low,2,Snack,motorcycle,0.0,,Urban,10,20002.520251332742
142,25698,34.0,4.4,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,33,20002.520251332742
143,10705,22.0,4.6,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,17,20002.520251332742
144,38463,24.0,4.1,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,16,20002.520251332742
145,36786,24.0,4.6,Cloudy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.520251332742
146,24531,36.0,4.7,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,35,20002.520251332742
147,1518,37.0,4.8,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,52,20002.520251332742
148,23638,29.0,4.8,Sunny,Medium,2,Meal,scooter,1.0,No,Metropolitian,18,20002.520251332742
149,33930,29.0,4.7,Windy,Low,2,Drinks,motorcycle,0.0,No,Urban,11,20002.520251332742
150,23097,31.0,4.7,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Urban,37,20002.520251332055
151,3901,21.0,4.5,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Urban,26,20002.520251332055
152,36777,29.0,4.0,Sandstorms,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,36,20002.520251332055
153,7437,35.0,5.0,Sandstorms,Low,2,Snack,scooter,1.0,No,Metropolitian,16,20002.520251332055
154,43729,37.0,4.6,Windy,Medium,2,Snack,electric_scooter,0.0,No,Urban,26,20002.520251332055
155,31630,20.0,4.9,Fog,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,13,20002.520251332055
156,8212,28.0,4.6,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,18,20002.520251332055
157,14545,36.0,4.7,Cloudy,Jam,1,Drinks,scooter,1.0,Yes,Urban,44,20002.520251332055
158,42040,21.0,4.8,Windy,Low,1,Drinks,scooter,0.0,No,Urban,12,20002.520251332055
159,34444,25.0,4.3,Fog,Jam,2,Snack,electric_scooter,0.0,No,Metropolitian,36,20002.520251332055
160,28994,,,Sunny,Jam,2,Buffet,scooter,1.0,No,Urban,27,20002.520251332055
161,44400,27.0,4.6,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,27,20002.520251332055
162,22675,34.0,4.8,Stormy,High,0,Snack,motorcycle,1.0,No,Metropolitian,31,20002.520251332055
163,24810,,,,,3,Drinks,bicycle,1.0,No,Urban,19,20002.520251332055
164,4353,20.0,4.8,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,27,20002.520251332055
165,13049,31.0,4.7,Windy,Jam,2,Buffet,motorcycle,1.0,No,Urban,25,20002.520251329926
166,13469,37.0,3.5,Windy,Jam,1,Meal,motorcycle,2.0,No,Metropolitian,43,20002.520251329926
167,28925,,,Sunny,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,29,20002.520251329926
168,37058,36.0,4.7,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,17,20002.520251329926
169,9986,25.0,4.0,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,19,20002.520251329926
170,14414,32.0,4.8,Sandstorms,Low,2,Snack,scooter,0.0,No,Metropolitian,17,20002.520251329926
171,1520,30.0,4.2,Fog,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,33,20002.520251329926
172,29841,21.0,4.9,Cloudy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,28,20002.520251329926
173,28661,28.0,4.1,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,20002.520251329926
174,23190,23.0,4.9,Fog,Jam,0,Buffet,motorcycle,0.0,No,Urban,41,20002.520251329926
175,25000,30.0,4.8,Fog,Low,2,Meal,scooter,0.0,No,Metropolitian,16,20002.520251329926
176,8311,36.0,4.8,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.520251329177
177,8084,21.0,5.0,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,17,20002.520251329177
178,26661,32.0,4.6,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,27,20002.520251329177
179,17643,25.0,4.9,Fog,Low,1,Snack,motorcycle,,No,Urban,17,20002.520251329177
180,34663,34.0,4.8,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,28,20002.520251329177
181,435,37.0,4.7,Fog,Jam,2,Buffet,scooter,1.0,No,Metropolitian,39,20002.520251329177
182,22842,36.0,4.5,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.520251329177
183,10343,23.0,4.9,Windy,Jam,0,Drinks,motorcycle,1.0,No,Urban,28,20002.520251329177
184,26116,22.0,4.8,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,39,20002.520251329177
185,29929,24.0,4.2,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,37,20002.520251329177
186,23837,21.0,4.9,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Urban,18,20002.520251329177
187,3802,28.0,4.5,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,25,20002.520251329177
188,27030,29.0,4.6,Fog,Low,1,Snack,motorcycle,0.0,No,Metropolitian,17,20002.520251329177
189,30103,24.0,4.7,Sunny,Low,0,Snack,motorcycle,,No,Metropolitian,16,20002.520251329177
190,29684,29.0,4.2,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,32,20002.520251327653
191,40449,20.0,4.5,Windy,High,1,Snack,motorcycle,1.0,No,Metropolitian,16,20002.520251327653
192,23643,26.0,4.7,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,17,20002.520251327653
193,13811,20.0,5.0,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.520251327653
194,110,24.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,25,20002.520251327653
195,15342,28.0,4.5,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,20002.520251327653
196,14841,27.0,4.6,Fog,Low,1,Drinks,scooter,1.0,No,Urban,15,20002.520251327653
197,9860,29.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,30,20002.520251327653
198,34461,23.0,4.2,Windy,Medium,0,Snack,motorcycle,1.0,No,Urban,31,20002.520251327653
199,45004,35.0,4.9,Windy,Low,1,Buffet,motorcycle,0.0,No,Urban,17,20002.520251327653
200,40264,25.0,4.3,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,34,20002.520251320853
201,13304,,,Fog,Low,2,Snack,electric_scooter,1.0,No,Urban,11,20002.520251320853
202,45046,20.0,4.8,Cloudy,Jam,1,Drinks,scooter,2.0,No,Metropolitian,38,20002.520251320853
203,32414,,,Cloudy,High,2,Drinks,scooter,1.0,No,Metropolitian,23,20002.520251320853
204,8797,20.0,3.8,Sunny,High,0,Snack,motorcycle,2.0,No,Metropolitian,47,20002.520251320853
205,17745,23.0,3.6,Sunny,High,0,Drinks,motorcycle,1.0,No,Metropolitian,54,20002.520251320853
206,5421,28.0,4.4,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,15,20002.520251320853
207,13560,35.0,4.2,Windy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,38,20002.520251320853
208,28713,33.0,4.5,Windy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,24,20002.520251320853
209,34361,26.0,4.8,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,27,20002.520251320853
210,41913,,,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520251320853
211,37525,25.0,4.2,Cloudy,Jam,2,Drinks,scooter,1.0,No,Urban,34,20002.520251320853
212,43510,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,26,20002.520251320853
213,30992,23.0,4.7,Sunny,Jam,1,Buffet,scooter,0.0,No,Metropolitian,14,20002.520251320722
214,12542,39.0,4.7,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,31,20002.520251320722
215,42170,39.0,4.8,Cloudy,High,1,Meal,motorcycle,1.0,No,Metropolitian,29,20002.520251320722
216,19223,32.0,4.8,Stormy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,19,20002.520251320722
217,41438,34.0,3.5,Stormy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,35,20002.520251320722
218,45148,23.0,4.6,Cloudy,High,2,Snack,scooter,0.0,No,Urban,24,20002.520251320722
219,41553,32.0,4.9,Sunny,Low,0,Meal,motorcycle,0.0,No,Metropolitian,22,20002.520251320722
220,38111,30.0,4.6,Cloudy,Medium,1,Snack,motorcycle,0.0,No,Urban,18,20002.520251320722
221,29283,28.0,4.6,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,17,20002.520251320722
222,18716,39.0,4.9,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,28,20002.520251320722
223,14406,29.0,4.6,Sunny,Jam,2,Snack,scooter,1.0,No,Metropolitian,17,20002.520251320722
224,3306,35.0,4.7,Stormy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,27,20002.520251320722
225,42668,33.0,4.1,Sandstorms,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20,20002.52025131765
226,33380,20.0,4.4,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,34,20002.52025131765
227,16396,37.0,4.9,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,29,20002.52025131765
228,28944,39.0,4.5,Sandstorms,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,26,20002.52025131765
229,33128,31.0,4.8,Sunny,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,30,20002.52025131765
230,14522,24.0,4.6,Cloudy,Medium,2,Meal,scooter,2.0,No,Urban,38,20002.52025131765
231,18108,34.0,4.9,Stormy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,27,20002.52025131765
232,14831,21.0,4.8,Sunny,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,16,20002.52025131765
233,16980,22.0,4.8,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Metropolitian,15,20002.52025131765
234,10427,34.0,4.2,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,25,20002.520251317605
235,8179,,,Windy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.520251317605
236,3586,38.0,4.9,Sandstorms,Low,2,Meal,motorcycle,1.0,No,Metropolitian,18,20002.520251317605
237,42608,28.0,4.3,Stormy,Jam,0,Meal,motorcycle,1.0,No,Urban,32,20002.520251317605
238,13833,26.0,4.6,Cloudy,Low,1,Snack,scooter,0.0,No,Urban,16,20002.520251317605
239,23503,,,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.520251317605
240,31424,35.0,4.0,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,42,20002.520251317605
241,40266,20.0,4.4,Cloudy,Medium,1,Snack,scooter,0.0,No,Metropolitian,32,20002.520251317605
242,17883,31.0,4.3,Windy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,36,20002.520251317605
243,1951,20.0,4.6,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,39,20002.520251316964
244,4718,22.0,4.9,Stormy,Jam,1,Meal,motorcycle,1.0,No,Urban,17,20002.520251316964
245,16272,33.0,4.7,Sunny,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,19,20002.520251316964
246,10485,28.0,4.6,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,10,20002.520251316964
247,20478,29.0,4.8,Cloudy,Low,0,Snack,motorcycle,1.0,No,Urban,23,20002.520251316964
248,23749,36.0,4.9,Sunny,Medium,1,Buffet,scooter,1.0,No,Metropolitian,19,20002.520251316964
